family,class,species,Forma,Sex,angle,webUrl,isMimic,Background,Type,Photo from
Salticidae,Arachnida,Ligonipes lacertosus,,,Lateral,images/Z028.jpg,TRUE,Natural,null,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Female,Dorsal,images/Z029.jpg,TRUE,Natural,null,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Male,Lateral,images/Z030.jpg,TRUE,Natural,null,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Female,Posterior,images/Z031.jpg,TRUE,Natural,null,Robert Whyte
Corinnidae,Arachnida,Nyssus coloripes,,,Dorsal,images/Z032.jpg,FALSE,Natural,nonAnt,Robert Whyte
Corinnidae,Arachnida,Nyssus luteofinis,,,Lateral,images/Z033.jpg,TRUE,Natural,null,Robert Whyte
Corinnidae,Arachnida,Nyssus paradoxus,,,Anterior,images/Z034.jpg,FALSE,Natural,nonAnt,Robert Whyte
Corinnidae,Arachnida,Nyssus paradoxus,,,Dorsal,images/Z035.jpg,FALSE,Artificial,nonAnt,Robert Whyte
Corinnidae,Arachnida,Nyssus supunnoides,,,Dorsal,images/Z037.jpg,FALSE,Natural,nonAnt,Robert Whyte
Corinnidae,Arachnida,Nyssus albopunctatus,,,Dorsal,images/Z038.jpg,FALSE,Natural,nonAnt,Robert Whyte
Corinnidae,Arachnida,Nyssus luteofinis,,,Lateral,images/Z039.jpg,TRUE,Natural,null,Robert Whyte
Corinnidae,Arachnida,Iridonyssus kohouti,,,Dorsal,images/Z040.jpg,TRUE,Natural,null,Robert Whyte
Corinnidae,Arachnida,Nyssus coloripes,,,Lateral,images/Z041.jpg,TRUE,Natural,null,Robert Whyte
Formicidae,Insecta,Formicid sp.,,,Lateral,images/IMG_8943.jpg,FALSE,Natural,ant,Jim
Formicidae,Insecta,Dolichoderus scabridus,,,Dorsal,images/IMG_8184.jpg,FALSE,Natural,ant,Jim
Formicidae,Insecta,Leptomyrmex sp.,,,Dorsal,images/IMG_8113.jpg,FALSE,Natural,ant,Jim
Formicidae,Insecta,Camponotus sp.,,,Dorsal,images/IMG_7181.jpg,FALSE,Natural,ant,Jim
Formicidae,Insecta,Myrmecia sp.,,,Dorsal,images/IMG_7019.jpg,FALSE,Natural,ant,Jim
Formicidae,Insecta,Dolichoderus scabridus,,,Dorsal,images/IMG_5789.jpg,FALSE,Natural,ant,Jim
Formicidae,Insecta,Formicid sp.,,,Dorsal,images/IMG_4510.jpg,FALSE,Natural,ant,Jim
Formicidae,Insecta,Polyrhachis sp.,,,Dorsal,images/IMG_4460.jpg,FALSE,Natural,ant,Jim
Formicidae,Insecta,Dolichoderus sp.,,,Dorsal,images/A011.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Dolichoderus sp.,,,Anterior,images/A010.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Idiomyrmex sp.,,,Lateral,images/A001.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Orectognathus versicolor,,,Dorsal,images/A002.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Polyrhachis rufifemur,,,Dorsal,images/A003.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Polyrhachis rufifemur,,,Lateral,images/A004.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Polyrhachis rufifemur,,,Lateral,images/A005.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Polyrhachis daemeli,,,Dorsal,images/A006.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Myrmecia nigrocincta,,,Lateral,images/A007.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Myrmecia nigrocincta,,,Dorsal,images/A008.jpg,FALSE,Natural,ant,Robert Whyte
Formicidae,Insecta,Myrmecia nigrocincta,,,Dorsal,images/A009.jpg,FALSE,Natural,ant,Robert Whyte
